University Name,Level,Program Name,Program URL,Start Date
Beihang University,PhD,Mechanical Engineering,https://www.china-admissions.com/beihang-university/programs/phd/phd-mechanical-engineering-beihang-university/,September or February
Beihang University,PhD,Mechanics,https://www.china-admissions.com/beihang-university/programs/phd/phd-mechanics-beihang-university/,September or February
Beihang University,PhD,Optical Engineering,https://www.china-admissions.com/beihang-university/programs/phd/phd-optical-engineering-beihang-university/,September or February
Beihang University,PhD,Physics,https://www.china-admissions.com/beihang-university/programs/phd/phd-physics-beihang-university/,September or February
Beihang University,PhD,Power Engineering and Engineering Thermopysics,https://www.china-admissions.com/beihang-university/programs/phd/phd-power-engineering-engineering-thermophysics-beihang-university/,September or February
Beihang University,PhD,Transportation Engineering,https://www.china-admissions.com/beihang-university/programs/phd/phd-transportation-engineering-beihang-university/,September or February
Beihang University,Master's,Accounting,https://www.china-admissions.com/beihang-university/programs/masters/masters-accounting-beihang-university/,September or February
Beihang University,Non-degree,Chinese Language Program,https://www.china-admissions.com/beihang-university/programs/chinese-language-program-beihang-university/,September or February
Beihang University,Non-degree,Chinese Language Program,https://www.china-admissions.com/beihang-university/programs/chinese-language-program-beihang-university/,September or February
Beihang University,PhD,Aerospace Science and Technology,https://www.china-admissions.com/beihang-university/programs/phd/phd-aerospace-science-technology-beihang-university/,September or February
Beijing Foreign Studies University,Bachelor's,Chinese Business Studies,https://www.china-admissions.com/beijing-foreign-studies-university/programs/undergraduate/bachelors-chinese-business-studies/,September or March
Beijing Foreign Studies University,Bachelor's,International Business,https://www.china-admissions.com/beijing-foreign-studies-university/programs/undergraduate/bachelors-international-business-beijing-foreign-studies-university/,September or March
Beijing Foreign Studies University,Bachelor's,International Finance,https://www.china-admissions.com/beijing-foreign-studies-university/programs/undergraduate/bachelors-international-finance/,September or March
Beijing Foreign Studies University,Bachelor's,International Marketing,https://www.china-admissions.com/beijing-foreign-studies-university/programs/undergraduate/bachelors-international-marketing-beijing-foreign-studies-university/,September or March
Beijing Foreign Studies University,Master's,Chinese Business and International Relations,https://www.china-admissions.com/beijing-foreign-studies-university/programs/masters/masters-chinese-business-international-relations/,September
Beijing Foreign Studies University,Master's,International Business,https://www.china-admissions.com/beijing-foreign-studies-university/programs/masters/masters-international-business/,September
Beijing Foreign Studies University,Master's,LLM in Chinese Business and Commercial Law,https://www.bfsulaw.com/chinese-llm-residential.html,September or March
Beijing Foreign Studies University,Master's,Online LLM in Chinese Business and Commercial Law,https://www.bfsulaw.com/online-llm.html,September or March
Beijing Foreign Studies University,Non-degree,Online Certificate in Chinese Business and Commercial Law,https://www.bfsulaw.com/online-certificate-in-law.html,Any time of year
Beijing Foreign Studies University,Non-degree,Semester Program in Chinese Business Studies,https://www.china-admissions.com/beijing-foreign-studies-university/programs/non-degree-programs-beijing-foreign-studies-university/semester-program-chinese-business/,September or March
Beijing Foreign Studies University,Non-degree,Semester Program in Chinese Business Studies,https://www.china-admissions.com/beijing-foreign-studies-university/programs/non-degree-programs-beijing-foreign-studies-university/semester-program-chinese-business/,September or March
Beijing Institute of Technology,Bachelor's,Computer Science and Technology,https://www.china-admissions.com/beijing-institute-technology/programs/bachelors/bachelors-computer-science-technology-beijing-institute-technology/,September
Beijing Institute of Technology,Bachelor's,Electronic Science and Technology,https://www.china-admissions.com/beijing-institute-technology/programs/bachelors/bachelors-electronic-science-technology-beijing-institute-technology/,September
Beijing Institute of Technology,Bachelor's,Electrical Engineering,https://www.china-admissions.com/beijing-institute-technology/programs/bachelors/bachelors-in-electrical-engineering/,September
Beijing Institute of Technology,Bachelor's,International Economics and Trade,https://www.china-admissions.com/beijing-institute-technology/programs/bachelors/bachelors-international-economics-trade-beijing-institute-technology/,September
Beijing Institute of Technology,Bachelor's,Mechanical Engineering,https://www.china-admissions.com/beijing-institute-technology/programs/bachelors/bachelors-mechancial-engineering-beijing-institute-technology/,September
Beijing Institute of Technology,Bachelor's,Economics & International Business,https://www.china-admissions.com/beijing-institute-technology/bachelors-economics-international-business/,September
Beijing Institute of Technology,Master's,Law (LLM),https://www.china-admissions.com/beijing-institute-technology/programs/masters/llm-chinese-international-law-beijing-institute-technology/,September
Beijing Institute of Technology,Master's,Computer Science and Technology,https://www.china-admissions.com/beijing-institute-technology/programs/masters/masters-computer-science-technology-beijing-institute-technology/,September
Beijing Institute of Technology,Master's,Control Science and Engineering,https://www.china-admissions.com/beijing-institute-technology/programs/masters/masters-control-science-engineering/,September
