University Name,Level,Program Name,Program URL,Start Date,App Deadline,Years,Tuition,PerYearTuitio
Beihang University,Master's,Material Science and Engineering,https://www.china-admissions.com/beihang-university/programs/masters/masters-material-science-engineering-beihang-university/,September or February,30th May or 30th December,2,70000,35000
Beihang University,Master's,Mechanical Engineering,https://www.china-admissions.com/beihang-university/programs/masters/masters-mechanical-engineering-beihang-university/,September or February,30th May or 30th December,2,70000,35000
Beihang University,Master's,Mechanics,https://www.china-admissions.com/beihang-university/programs/masters/masters-mechanics-beihang-university/,September or February,30th May or 30th December,2,70000,35000
Beihang University,Master's,Optical Engineering,https://www.china-admissions.com/beihang-university/programs/masters/masters-optical-engineering-beihang-university/,September or February,30th May or 30th December,2,70000,35000
Beihang University,Master's,Physics,https://www.china-admissions.com/beihang-university/programs/masters/masters-physics-beihang-university/,September or February,30th May or 30th December,2,70000,35000
Beihang University,Master's,Power Engineering and Engineering Thermophysics,https://www.china-admissions.com/beihang-university/programs/masters/masters-power-engineering-engineering-thermophysics-beihang-university/,September or February,30th May or 30th December,2,70000,35000
Beihang University,Master's,Transportation Engineering,https://www.china-admissions.com/beihang-university/programs/masters/masters-transportation-engineering-beihang-university/,September or February,30th May or 30th December,2,70000,35000
Beihang University,Master's,Transportation Engineering,https://www.china-admissions.com/beihang-university/programs/masters/masters-transportation-engineering-beihang-university/,September or February,30th May or 30th December,3,105000,35000
Beihang University,PhD,Computer Science and Technology,https://www.china-admissions.com/beihang-university/programs/phd/phd-computer-science-technology-beihang-university/,September or February,30th May or 30th December,4,168000,42000
Beihang University,PhD,Control Science and Engineering,https://www.china-admissions.com/beihang-university/programs/phd/phd-control-science-engineering-beihang-university/,September or February,30th May or 30th December,4,168000,42000
Beihang University,PhD,Electrical Engineering,https://www.china-admissions.com/beihang-university/programs/phd/phd-electrical-engineering-beihang-university/,September or February,30th May or 30th December,4,168000,42000
Beihang University,PhD,Electronics Science and Technology,https://www.china-admissions.com/beihang-university/programs/phd/phd-electronics-science-technology-beihang-university/,September or February,30th May or 30th December,4,168000,42000
Beihang University,PhD,Information and Communications Engineering,https://www.china-admissions.com/beihang-university/programs/phd/phd-information-communications-engineering-beihang-university/,September or February,30th May or 30th December,4,168000,42000
Beihang University,PhD,Instrument Science and Technology,https://www.china-admissions.com/beihang-university/programs/phd/phd-instrument-science-technology-beihang-university/,September or February,30th May or 30th December,4,168000,42000
Beihang University,PhD,Linguistics and Applied Linguistics in Foreign Languages,https://www.china-admissions.com/beihang-university/programs/phd/phd-linguistics-applied-linguistics-foreign-languages-beihang-university/,September or February,30th May or 30th December,4,168000,42000
Beihang University,PhD,Management Science and Engineering,https://www.china-admissions.com/beihang-university/programs/phd/phd-management-science-engineering-beihang-university/,September or February,30th May or 30th December,4,168000,42000
Beihang University,PhD,Material Science and Engineering,https://www.china-admissions.com/beihang-university/programs/phd/phd-material-science-engineering-beihang-university/,September or February,30th May or 30th December,4,168000,42000
Beihang University,PhD,Mechanical Engineering,https://www.china-admissions.com/beihang-university/programs/phd/phd-mechanical-engineering-beihang-university/,September or February,30th May or 30th December,4,168000,42000
Beihang University,PhD,Mechanics,https://www.china-admissions.com/beihang-university/programs/phd/phd-mechanics-beihang-university/,September or February,30th May or 30th December,4,168000,42000
Beihang University,PhD,Optical Engineering,https://www.china-admissions.com/beihang-university/programs/phd/phd-optical-engineering-beihang-university/,September or February,30th May or 30th December,4,168000,42000
Beihang University,PhD,Physics,https://www.china-admissions.com/beihang-university/programs/phd/phd-physics-beihang-university/,September or February,30th May or 30th December,4,168000,42000
Beihang University,PhD,Power Engineering and Engineering Thermopysics,https://www.china-admissions.com/beihang-university/programs/phd/phd-power-engineering-engineering-thermophysics-beihang-university/,September or February,30th May or 30th December,4,168000,42000
Beihang University,PhD,Transportation Engineering,https://www.china-admissions.com/beihang-university/programs/phd/phd-transportation-engineering-beihang-university/,September or February,30th May or 30th December,4,168000,42000
Beihang University,Master's,Accounting,https://www.china-admissions.com/beihang-university/programs/masters/masters-accounting-beihang-university/,September or February,30th May or 30th December,2,70000,35000
Beihang University,Non-degree,Chinese Language Program,https://www.china-admissions.com/beihang-university/programs/chinese-language-program-beihang-university/,September or February,20th December or 20th June,0.5,8600,8600
Beihang University,Non-degree,Chinese Language Program,https://www.china-admissions.com/beihang-university/programs/chinese-language-program-beihang-university/,September or February,20th December or 20th June,2,31600,15800
Beihang University,PhD,Aerospace Science and Technology,https://www.china-admissions.com/beihang-university/programs/phd/phd-aerospace-science-technology-beihang-university/,September or February,30th May or 30th December,4,168000,42000
Beijing Foreign Studies University,Bachelor's,Chinese Business Studies,https://www.china-admissions.com/beijing-foreign-studies-university/programs/undergraduate/bachelors-chinese-business-studies/,September or March,June 30th or 30th December,4,139600,34900
Beijing Foreign Studies University,Bachelor's,International Business,https://www.china-admissions.com/beijing-foreign-studies-university/programs/undergraduate/bachelors-international-business-beijing-foreign-studies-university/,September or March,June 30th or 30th December,4,139600,34900
Beijing Foreign Studies University,Bachelor's,International Finance,https://www.china-admissions.com/beijing-foreign-studies-university/programs/undergraduate/bachelors-international-finance/,September or March,June 30th or 30th December,4,139600,34900
Beijing Foreign Studies University,Bachelor's,International Marketing,https://www.china-admissions.com/beijing-foreign-studies-university/programs/undergraduate/bachelors-international-marketing-beijing-foreign-studies-university/,September or March,June 30th or 30th December,4,139600,34900
Beijing Foreign Studies University,Master's,Chinese Business and International Relations,https://www.china-admissions.com/beijing-foreign-studies-university/programs/masters/masters-chinese-business-international-relations/,September,June 30th,2,89800,44900
Beijing Foreign Studies University,Master's,International Business,https://www.china-admissions.com/beijing-foreign-studies-university/programs/masters/masters-international-business/,September,June 30th,2,89800,44900
Beijing Foreign Studies University,Master's,LLM in Chinese Business and Commercial Law,https://www.bfsulaw.com/chinese-llm-residential.html,September or March,5th / 6th September or 10th / 11th of March,2,128000,128000
Beijing Foreign Studies University,Master's,Online LLM in Chinese Business and Commercial Law,https://www.bfsulaw.com/online-llm.html,September or March,5th / 6th September or 10th / 11th of March,2,68000,68000
Beijing Foreign Studies University,Non-degree,Online Certificate in Chinese Business and Commercial Law,https://www.bfsulaw.com/online-certificate-in-law.html,Any time of year,Any time of year,2,34000,34000
Beijing Foreign Studies University,Non-degree,Semester Program in Chinese Business Studies,https://www.china-admissions.com/beijing-foreign-studies-university/programs/non-degree-programs-beijing-foreign-studies-university/semester-program-chinese-business/,September or March,June 30th or 10th January,0.5,16000,16000
Beijing Foreign Studies University,Non-degree,Semester Program in Chinese Business Studies,https://www.china-admissions.com/beijing-foreign-studies-university/programs/non-degree-programs-beijing-foreign-studies-university/semester-program-chinese-business/,September or March,June 30th or 10th January,1,32000,32000
Beijing Institute of Technology,Bachelor's,Computer Science and Technology,https://www.china-admissions.com/beijing-institute-technology/programs/bachelors/bachelors-computer-science-technology-beijing-institute-technology/,September,15th July,4,122400,30600
Beijing Institute of Technology,Bachelor's,Electronic Science and Technology,https://www.china-admissions.com/beijing-institute-technology/programs/bachelors/bachelors-electronic-science-technology-beijing-institute-technology/,September,15th July,4,122400,30600
Beijing Institute of Technology,Bachelor's,Electrical Engineering,https://www.china-admissions.com/beijing-institute-technology/programs/bachelors/bachelors-in-electrical-engineering/,September,15th July,4,122400,30600
Beijing Institute of Technology,Bachelor's,International Economics and Trade,https://www.china-admissions.com/beijing-institute-technology/programs/bachelors/bachelors-international-economics-trade-beijing-institute-technology/,September,15th July,4,122400,30600
Beijing Institute of Technology,Bachelor's,Mechanical Engineering,https://www.china-admissions.com/beijing-institute-technology/programs/bachelors/bachelors-mechancial-engineering-beijing-institute-technology/,September,15th July,4,122400,30600
Beijing Institute of Technology,Bachelor's,Economics & International Business,https://www.china-admissions.com/beijing-institute-technology/bachelors-economics-international-business/,September,15th July,4,122400,30600
Beijing Institute of Technology,Master's,Law (LLM),https://www.china-admissions.com/beijing-institute-technology/programs/masters/llm-chinese-international-law-beijing-institute-technology/,September,15th July,2,73200,36600
Beijing Institute of Technology,Master's,Computer Science and Technology,https://www.china-admissions.com/beijing-institute-technology/programs/masters/masters-computer-science-technology-beijing-institute-technology/,September,15th July,2,73200,36600
Beijing Institute of Technology,Master's,Control Science and Engineering,https://www.china-admissions.com/beijing-institute-technology/programs/masters/masters-control-science-engineering/,September,15th July,2,73200,36600
Beijing Institute of Technology,Master's,Mechanical Engineering,https://www.china-admissions.com/beijing-institute-technology/programs/masters/masters-mechanical-engineering-beijing-institute-technology/,September,15th July,2,73200,36600
Beijing Institute of Technology,Master's,Software Engineering,https://www.china-admissions.com/beijing-institute-technology/programs/masters/masters-software-engineering-beijing-institute-technology/,September,15th July,2,73200,36600
Beijing Institute of Technology,Master's,MBA,https://www.china-admissions.com/beijing-institute-technology/mba,September,15th July,2,73200,36600
Beijing Institute of Technology,Master's,Aeronautics & Space Science and Technology,https://www.china-admissions.com/beijing-institute-technology/masters-aeronautics-space-science-technology/,September,15th July,2,73200,36600
Beijing Institute of Technology,Master's,Chemistry,https://www.china-admissions.com/beijing-institute-technology/masters-in-chemistry/,September,15th July,2,73200,36600
Beijing Institute of Technology,Master's,Information & Communication Engineering,https://www.china-admissions.com/beijing-institute-technology/masters-information-communication-engineering/,September,15th July,2,73200,36600
Beijing Institute of Technology,Master's,Chemical Engineering and Technology,https://www.china-admissions.com/beijing-institute-technology/masters-chemical-engineering-technology/,September,15th July,2,73200,36600
Beijing Institute of Technology,Master's,Electronics Science and Technology,https://www.china-admissions.com/beijing-institute-technology/masters-electronics-science-technology/,September,15th July,2,73200,36600
Beijing Institute of Technology,PhD,Education,https://www.china-admissions.com/beijing-institute-technology/programs/phd/phd-education-beijing-institute-technology/,September,15th July,4,180000,45000
Beijing Institute of Technology,PhD,Material Science and Engineering,https://www.china-admissions.com/beijing-institute-technology/programs/phd/phd-material-science-engineering-beijing-institute-technology/,September,15th July,4,180000,45000
Beijing Institute of Technology,PhD,Mathematics,https://www.china-admissions.com/beijing-institute-technology/programs/phd/phd-mathematics-beijing-institute-technology/,September,15th July,4,180000,45000
Beijing Institute of Technology,PhD,Mechanical Engineering,https://www.china-admissions.com/beijing-institute-technology/programs/phd/phd-mechanical-engineering-beijing-institute-technology/,September,15th July,4,180000,45000
Beijing Institute of Technology,PhD,Physics,https://www.china-admissions.com/beijing-institute-technology/programs/phd/phd-physics-beijing-institute-technology/,September,15th July,4,180000,45000
Beijing Institute of Technology,PhD,Aeronautics & Space Science and Technology,https://www.china-admissions.com/beijing-institute-technology/phd-aeronautics-space-science-technology/,September,15th July,4,180000,45000
Beijing Institute of Technology,PhD,Safety Science and Engineering,https://www.china-admissions.com/beijing-institute-technology/phd-safety-science-engineering/,September,15th July,4,180000,45000
Beijing Institute of Technology,PhD,Dynamic Mechanical and Engineering,https://www.china-admissions.com/beijing-institute-technology/phd-dynamic-mechanical-engineering/,September,15th July,4,180000,45000
Beijing Institute of Technology,PhD,Optical Engineering,https://www.china-admissions.com/beijing-institute-technology/phd-optical-engineering/,September,15th July,4,180000,45000
Beijing Institute of Technology,PhD,Instrument Science and Technology,https://www.china-admissions.com/beijing-institute-technology/phd-instrument-science-technology/,September,15th July,4,180000,45000
Beijing Institute of Technology,PhD,Electronic Science and Technology,https://www.china-admissions.com/beijing-institute-technology/phd-electronic-science-technology/,September,15th July,4,180000,45000
Beijing Institute of Technology,PhD,Information and Communication Engineering,https://www.china-admissions.com/beijing-institute-technology/phd-information-communication-engineering/,September,15th July,4,180000,45000
Beijing Institute of Technology,PhD,Control Science and Engineering,https://www.china-admissions.com/beijing-institute-technology/phd-control-science-engineering/,September,15th July,4,180000,45000
Beijing Institute of Technology,PhD,Computer Science and Technology,https://www.china-admissions.com/beijing-institute-technology/phd-computer-science-technology/,September,15th July,4,180000,45000
Beijing Institute of Technology,PhD,Software Engineering,https://www.china-admissions.com/beijing-institute-technology/phd-software-engineering/,September,15th July,4,180000,45000
Beijing Institute of Technology,PhD,Chemical Engineering and Technology,https://www.china-admissions.com/beijing-institute-technology/phd-chemical-engineering-technology/,September,15th July,4,180000,45000
Beijing Institute of Technology,PhD,Biomedical Engineering,https://www.china-admissions.com/beijing-institute-technology/phd-biomedical-engineering/,September,15th July,4,180000,45000
Beijing Institute of Technology,PhD,Chemistry,https://www.china-admissions.com/beijing-institute-technology/phd-in-chemistry/,September,15th July,4,180000,45000
Beijing Institute of Technology,PhD,Management Science and Engineering,https://www.china-admissions.com/beijing-institute-technology/phd-management-science-engineering/,September,15th July,4,180000,45000
Beijing Institute of Technology,PhD,Economics,https://www.china-admissions.com/beijing-institute-technology/phd-in-economics/,September,15th July,4,180000,45000
Beijing Institute of Technology,PhD,Law,https://www.china-admissions.com/beijing-institute-technology/phd-in-law/,September,15th July,4,180000,45000
Beijing Institute of Technology,Non-degree,Chinese Language Program,https://www.china-admissions.com/beijing-institute-technology/programs/chinese-language-programs-beijing-institute-technology/chinese-language-program-beijing-institute-technology/,September or March,August 10 or February 10,0.5,8500,8500
Beijing Institute of Technology,Non-degree,Chinese Language Program,https://www.china-admissions.com/beijing-institute-technology/programs/chinese-language-programs-beijing-institute-technology/chinese-language-program-beijing-institute-technology/,September or March,August 10 or February 10,1,17000,17000
Beijing Institute of Technology,Non-degree,Chinese Language Program,https://www.china-admissions.com/beijing-institute-technology/programs/chinese-language-programs-beijing-institute-technology/chinese-language-program-beijing-institute-technology/,September or March,August 10 or February 10,2,34000,17000
Beijing Institute of Technology,Non-degree,Pre-University Chinese Language Program,https://www.china-admissions.com/beijing-institute-technology/programs/chinese-language-programs-beijing-institute-technology/pre-university-chinese-language-program-beijing-institute-technology/,September or March,August 10 or February 10,0.5,10300,10300
Beijing Institute of Technology,Non-degree,VIP Chinese Language Program,https://www.china-admissions.com/beijing-institute-technology/programs/chinese-language-programs-beijing-institute-technology/vip-chinese-program-beijing-institute-technology/,Any time of year,Any time,Customizable,Customizable,variable
Beijing Language and Culture University,Non-degree,1 on 1 Chinese Online Skype Classes,https://www.china-admissions.com/beijing-language-culture-university/1-1-online-chinese-programs/,Any time of year,Any time,Customizable,Customizable,Customizable
Central Academy of Drama,Non-degree,Chinese Language Program,https://www.china-admissions.com/central-academy-drama/chinese-program-central-academy-drama/,September or March,"August 31, or February 28",0.5,11360,11360
Central Academy of Drama,Non-degree,Chinese Language Program,https://www.china-admissions.com/central-academy-drama/chinese-program-central-academy-drama/,September or March,"August 31, or February 28",0.5,11360,11360
Central China Normal University,Non-degree,Chinese Language Programs,https://www.china-admissions.com/ccnu-central-china-normal-university/programs/non-degree/chinese-language-program/,September or February,Any time,0.5,7500,7500
Central China Normal University,Non-degree,Chinese Language Programs,https://www.china-admissions.com/ccnu-central-china-normal-university/programs/non-degree/chinese-language-program/,September or February,Any time,1,15000,15000
China University of Political Science and Law,Bachelor's,Law Degree in Chinese Law (in Chinese),http://www.lawschoolchina.com/programs/degree-in-chinese-law,September,June 20th,4,80000,20000
China University of Political Science and Law,Master's,LLM in International Law,http://www.lawschoolchina.com/llm,September or February,June 20th or January 5th,2,87000,43500
China University of Political Science and Law,Master's,LLM in Chinese Law,http://www.lawschoolchina.com/llm-in-chinese-law,September or February,June 20th or January 5th,2,87000,43500
China University of Political Science and Law,Summer,Chinese Law,http://www.lawschoolchina.com/china-law-summer-study-program,"May, June, July",April 15th,variable,Variable,variable
China University of Political Science and Law,Non-degree,Chinese Language Program,http://www.lawschoolchina.com/overview-of-chinese-language-programs/chinese-language-program,February and September,up until the start of the semester,0.5,8000,8000
China University of Political Science and Law,Non-degree,Chinese Language Program,http://www.lawschoolchina.com/overview-of-chinese-language-programs/chinese-language-program,February and September,up until the start of the semester,1,16000,16000
China University of Political Science and Law,Non-degree,Semester Exchange Program in International Law,http://www.lawschoolchina.com/semester-exchange-program,September or February,June 20th or January 5th,0.5,20000,20000
China University of Political Science and Law,PhD,International Law,http://www.lawschoolchina.com/phd,September or February,June 20th or January 5th,3,99000,33000
Huazhong University of Science and Technology,Bachelor's,Mechanical Design Manufacture and Automation,http://www.china-admissions.com/hust-huazhong-university-science-technology/programs/bachelors/bachelors-mechanical-design-manufacture-automation-hust/,September or February,June 30th or January 15,4,120000,30000
Huazhong University of Science and Technology,Bachelor's,Pharmacy,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/bachelors/bachelors-pharmacy-hust/,September,June 30th,4,140000,35000
Huazhong University of Science and Technology,Bachelor's,Telecommunications Engineering,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/bachelors/bachelors-telecommunications-engineering-hust/,September or February,June 30th or January 15,4,120000,30000
Huazhong University of Science and Technology,Bachelor's,MBBS Medicine,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/bachelors/mbbs-medicine-hust/,September,June 30th,6,240000,40000
Huazhong University of Science and Technology,Master's,Accounting,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-accounting-hust/,September or February,June 30th or January 15th,2,76000,38000
Huazhong University of Science and Technology,Master's,Administrative Management,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-administrative-management-hust/,September or February,June 30th or January 15th,2,76000,38000
Huazhong University of Science and Technology,Master's,Anesthesiology,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-anesthesiology-hust/,September or February,June 30th or January 15th,3,144000,58000
Huazhong University of Science and Technology,Master's,Architecture,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-architecture-hust/,September or February,June 30th or January 15th,2,76000,38000
Huazhong University of Science and Technology,Master's,Biochemistry and Molecular Biology,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-biochemistry-molecular-biology-hust/,September or February,June 30th or January 15th,2,76000,38000
Huazhong University of Science and Technology,Master's,Biomedical Engineering,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-biomedical-engineering-hust/,September or February,June 30th or January 15th,2,76000,38000
Huazhong University of Science and Technology,Master's,Clinic Test Diagnostics,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-clinic-test-diagnostics-hust/,September or February,June 30th or January 15th,3,174000,58000
Huazhong University of Science and Technology,Master's,Clinical Stomatology,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-clinical-stomatology-hust/,September or February,June 30th or January 15th,3,144000,48000
Huazhong University of Science and Technology,Master's,Communication Studies,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-communication-studies-hust/,September or February,June 30th or January 15th,2,66000,33000
Huazhong University of Science and Technology,Master's,Computer Applied Technology,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-computer-applied-technology-hust/,September or February,June 30th or January 15th,2,76000,38000
Huazhong University of Science and Technology,Master's,Dermatology and Venereology,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-dermatology-venereology-hust/,September or February,June 30th or January 15th,3,144000,58000
Huazhong University of Science and Technology,Master's,Design and Process for Semiconductor System-on-Chip,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-design-process-semiconductor-system-chip-hust/,September or February,June 30th or January 15th,2,76000,38000
Huazhong University of Science and Technology,Master's,E-Government,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-e-government-hust/,September or February,June 30th or January 15th,2,76000,38000
Huazhong University of Science and Technology,Master's,Ecology,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-ecology-hust/,September or February,June 30th or January 15th,2,76000,38000
Huazhong University of Science and Technology,Master's,Emergency Medicine,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-emergency-medicine-hust/,September or February,June 30th or January 15th,3,144000,48000
Huazhong University of Science and Technology,Master's,Engineering Management,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-engineering-management-hust/,September or February,June 30th or January 15th,2,76000,38000
Huazhong University of Science and Technology,Master's,English Language and Literature,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-english-language-literature-hust/,September or February,June 30th or January 15th,2,66000,33000
Huazhong University of Science and Technology,Master's,Enterprise Management,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-enterprise-management-hust/,September or February,June 30th or January 15th,2,76000,38000
Huazhong University of Science and Technology,Master's,Environmental Science,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-environmental-science-hust/,September or February,June 30th or January 15th,2,76000,38000
Huazhong University of Science and Technology,Master's,Epidemiology and Health Statistics,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-epidemiology-health-statistics-hust/,September or February,June 30th or January 15th,3,144000,48000
Huazhong University of Science and Technology,Master's,Finance,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-finance-hust/,September or February,June 30th or January 15th,2,76000,38000
Huazhong University of Science and Technology,Master's,Food Security and Management,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-food-security-management-hust/,September or February,June 30th or January 15th,3,144000,48000
Huazhong University of Science and Technology,Master's,Genetics (Medical School),https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-genetics-medical-school-hust/,September or February,June 30th or January 15th,2,76000,38000
Huazhong University of Science and Technology,Master's,Geotechnical Engineering,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-geotechnical-engineering-hust/,September or February,June 30th or January 15th,2,76000,38000
Huazhong University of Science and Technology,Master's,"Heating, Gas Supply, Ventilating and Air Conditioning Engineering",https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-heating-gas-supply-ventilating-air-conditioning-engineering-hust/,September or February,June 30th or January 15th,2,76000,38000
Huazhong University of Science and Technology,Master's,Highway and Railway Engineering,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-highway-railway-engineering-hust/,September or February,June 30th or January 15th,2,76000,38000
Huazhong University of Science and Technology,Master's,Hospital Management,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-hospital-management-hust/,September or February,June 30th or January 15th,2,76000,38000
Huazhong University of Science and Technology,Master's,"Human Anatomy, Histology and Embryology",https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-human-anatomy-histology-embryology-hust/,September or February,June 30th or January 15th,3,144000,58000
Huazhong University of Science and Technology,Master's,Hygiene Toxicology,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-hygiene-toxicology-hust/,September or February,June 30th or January 15th,3,144000,48000
Huazhong University of Science and Technology,Master's,Imaging and Nuclear Medicine,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-imaging-nuclear-medicine-hust/,September or February,June 30th or January 15th,3,174000,58000
